id,name,postcode,lat,lng,geosrc
601494,Greggs,"B14 5JA",52.406578,-1.887135,fhrs
600447,Greggs,"B33 9LZ",52.488323,-1.794118,fhrs
600515,Greggs,"B26 2UB",52.464603,-1.777125,fhrs
599608,Greggs,"B23 6SS",52.522747,-1.841901,fhrs
184526,Greggs,"WS3 3LG",52.616894,-2.004668,fhrs
560416,Greggs,"WS2 8EQ",52.588955,-1.983424,fhrs
651434,Greggs,"SR4 7HR",54.901646,-1.404428,fhrs
651788,Greggs,"SR1 3BT",54.906788,-1.383216,fhrs
635322,Greggs,"HP11 2DF",51.630234,-0.752397,fhrs
184254,Greggs,"WS9 8QP",52.604282,-1.917667,fhrs
184828,Greggs,"WS8 6EL",52.646767,-1.933062,fhrs
184852,Greggs,"WS1 1YT",52.583885,-1.984031,fhrs
857561,Greggs,"SA72 6AH",51.693710,-4.942070,fhrs
70156,Greggs,"PO1 2SB",50.795212,-1.094462,fhrs
198518,Greggs,"WS1 1NG",52.585178,-1.983322,fhrs
155705,Greggs,"SS4 1AJ",51.582458,0.705697,fhrs
337271,Greggs,"SG14 1BG",51.796883,-0.077223,fhrs
919031,Greggs,"CF47 9SB",51.762428,-3.379181,fhrs
1225416,Greggs,"CF48 4TQ",51.728378,-3.363607,fhrs
215940,Greggs,"DE1 2DG",52.922375,-1.476624,fhrs
1276370,Greggs,"PR1 4TE",53.765518,-2.656616,fhrs
230135,Greggs,"CA22 2AD",54.481682,-3.528323,fhrs
1031238,Greggs,"LA6 1JF",54.179089,-2.733833,fhrs
416684,Greggs,"N7 8JE",51.550381,-0.108995,fhrs
337305,Greggs,"CM23 3AT",51.869183,0.160047,fhrs
484362,Greggs,"SE27 9AF",51.435265,-0.104402,fhrs
1113406,Greggs,"SW16 1BJ",51.432781,-0.129494,fhrs
1004312,Greggs,"HA1 1JU",51.581173,-0.335376,fhrs
45271,Greggs,"M24 4EL",53.548252,-2.201066,fhrs
1226147,Greggs,"M32 9TR",53.456516,-2.336501,fhrs
457444,Greggs,"DN4 5PH",53.507450,-1.114073,fhrs
359208,Greggs,"LU3 3BH",51.916164,-0.470135,fhrs
1004510,Greggs,"DY11 7PT",52.362125,-2.266896,fhrs
1001010,Greggs,"WN8 8TL",53.550655,-2.808734,fhrs
373140,Greggs,"RM1 3ED",51.578156,0.181291,fhrs
600557,Greggs,"B33 0HS",52.473167,-1.761638,fhrs
597670,Greggs,"B31 2JU",52.416859,-1.968005,fhrs
1216436,Greggs,"BT40 2PH",54.835075,-5.866381,fhrs
652243,Greggs,"SR4 9AS",54.896687,-1.440033,fhrs
652331,Greggs,"DH5 9PA",0.000000,0.000000,fhrs
601049,Greggs,"B26 3JE",52.452290,-1.782778,fhrs
865742,Greggs,"CV5 6UA",52.402809,-1.557355,fhrs
1035100,Greggs,"PE1 1TS",52.573803,-0.241798,fhrs
487954,Greggs,"HR1 2DB",52.057152,-2.714227,fhrs
197879,Greggs,"NP11 6BW",51.607220,-3.100847,fhrs
148357,Greggs,"NP12 1AF",51.666306,-3.195427,fhrs
848149,Greggs,"WF2 7BL",53.652000,-1.524024,fhrs
339212,Greggs,"NE9 7JR",54.925385,-1.574764,fhrs
1047221,Greggs,"PE1 1NS",52.573921,-0.244389,fhrs
191115,Greggs,"NE33 5EA",54.988731,-1.437757,fhrs
470702,Greggs,"E8 1HY",51.548386,-0.055338,fhrs
267638,Greggs,"CA15 6BU",54.713745,-3.496897,fhrs
78862,Greggs,"CF44 7LB",51.712734,-3.444686,fhrs
1048958,Greggs,"SY16 1DW",52.515808,-3.304981,fhrs
872608,Greggs,"CM20 1AQ",51.767693,0.094612,fhrs
505244,Greggs,"SW19 7NH",51.421059,-0.206346,fhrs
208074,Greggs,"BN3 5TD",50.834438,-0.206333,fhrs
1027056,GREGGS,"BH25 6QA",50.747108,-1.664208,fhrs
188300,Greggs,"SK1 1UD",53.412682,-2.157474,fhrs
73452,Greggs,"SK1 1RA",53.410023,-2.162338,fhrs
566261,Greggs,"NG9 7AA",52.929279,-1.275815,fhrs
239018,Greggs,"CV6 5AU",52.428928,-1.499369,fhrs
831203,Greggs,"NP20 1DU",51.586983,-2.994410,fhrs
67811,Greggs,"PO9 5AH",50.867638,-0.984142,fhrs
127709,Greggs,"PO1 1EJ",50.799274,-1.090680,fhrs
220379,Greggs,"SO15 3NN",50.922112,-1.432800,fhrs
976243,Greggs,"M44 6FW",53.454117,-2.405904,fhrs
1100019,Greggs,"TS2 1AG",54.583260,-1.238051,fhrs
1029076,Greggs,"NE23 1WE",55.097332,-1.607966,fhrs
257911,Greggs,"TS5 6HX",54.560547,-1.243170,fhrs
329824,Greggs,"LN5 7AL",53.227863,-0.541285,fhrs
427006,Greggs,"TS24 8NA",54.698410,-1.218402,fhrs
684332,Greggs,"B61 8EX",52.334820,-2.060360,fhrs
489488,Greggs,"HR4 9AB",52.056141,-2.717784,fhrs
1201970,Greggs,"LE8 4DJ",52.574879,-1.164039,fhrs
871893,Greggs,"DH1 5GB",54.806751,-1.581783,fhrs
945671,Greggs,"DH1 2WP",54.776112,-1.540761,fhrs
368399,Greggs,"DN2 4PE",53.542995,-1.100081,fhrs
299559,Greggs,"LA9 4DA",54.327312,-2.747204,fhrs
758283,Greggs,"EN5 5XQ",51.654514,-0.201337,fhrs
998160,Greggs,"SR1 1RH",54.906178,-1.381416,fhrs
812542,Greggs,"DL5 4DP",54.620476,-1.571676,fhrs
581019,Greggs,"DY5 4JD",52.501068,-2.122768,fhrs
518932,Greggs,"HA4 0QP",51.560818,-0.381202,fhrs
1074149,Greggs,"NR32 1LS",52.475712,1.751770,fhrs
891327,Greggs,"SK11 6AJ",53.260342,-2.126451,fhrs
34817,Greggs,"GL15 5RA",51.727203,-2.529437,fhrs
346062,Greggs,"W6 9JG",51.492393,-0.230327,fhrs
921240,Greggs,"LL18 1TH",53.320820,-3.489789,fhrs
598629,Greggs,"B42 2AB",52.535427,-1.905072,fhrs
157344,Greggs,"LN11 9PB",53.366055,-0.004695,fhrs
1042565,Greggs,"CH7 1UE",53.167042,-3.134035,fhrs
301993,Greggs,"SR8 1BP",54.759899,-1.334747,fhrs
739075,Greggs,"WA4 6QE",53.379875,-2.587906,fhrs
420604,Greggs,"WA1 1QE",53.390087,-2.595054,fhrs
1034759,Greggs,"LE1 6FJ",52.632278,-1.127784,fhrs
96374,Greggs,"NP44 1PN",51.654594,-3.020739,fhrs
39944,Greggs,"LE10 1DB",52.541656,-1.371621,fhrs
1405878,Greggs,"SP8 5FB",51.029469,-2.256907,fhrs
328013,Greggs,"BD1 1HA",53.793980,-1.751674,fhrs
356247,Greggs,"HP6 5DR",51.677544,-0.606349,fhrs
1384391,Greggs,"NE42 6BU",54.968559,-1.837298,onspd
213380,Greggs,"DN15 6SB",53.591892,-0.645586,fhrs
927644,Greggs,"BT11 9AE",54.581284,-5.978341,fhrs
4322,Greggs,"CR0 1NA",51.371185,-0.100656,fhrs
39449,Greggs,"SS8 7AE",51.522362,0.592032,fhrs
329591,Greggs,"DA14 6ED",51.426228,0.103633,fhrs
239957,Greggs,"CV3 5HD",52.394482,-1.506371,fhrs
149902,Greggs,"TA6 3BH",51.128658,-3.004407,fhrs
623045,Greggs,"BS23 1HE",51.348866,-2.979467,fhrs
520390,Greggs,"UB3 4BD",51.506664,-0.418613,fhrs
151208,Greggs,"BS23 1SL",51.347382,-2.978215,fhrs
902161,Greggs,"SY21 7RZ",52.660461,-3.148005,fhrs
599543,Greggs,"B8 1HU",52.489578,-1.852653,fhrs
924702,Greggs,"B4 7SL",52.478764,-1.894165,fhrs
1204762,Greggs,"PE6 7EZ",52.609253,-0.326749,fhrs
1408383,Greggs,"TQ2 7AR",50.482319,-3.549416,fhrs
329338,Greggs,"DA8 1RE",51.480320,0.179918,fhrs
1241795,Greggs,"NP25 5BG",51.806606,-2.721156,fhrs
609441,Greggs,"DE23 3FA",0.000000,0.000000,fhrs
408534,Greggs,"B66 4BH",52.474915,-1.969023,fhrs
1099456,Greggs,"B69 3DD",52.504322,-2.021995,fhrs
103373,Greggs,"B70 7NN",52.517521,-1.993398,fhrs
89651,Greggs,"M17 1JE",53.466034,-2.310246,fhrs
100823,Greggs,"M32 9BA",53.445686,-2.309435,fhrs
833696,Greggs,"B70 7PP",52.519833,-1.990656,fhrs
833689,Greggs,"B71 4JZ",52.510414,-1.969617,fhrs
863901,Greggs,"SY23 1DE",52.414745,-4.084748,fhrs
1058866,Greggs,"BL1 1NS",53.576508,-2.427193,fhrs
73137,Greggs,"BL6 6JA",53.583126,-2.536271,fhrs
269205,Greggs,"OX4 3XH",51.731758,-1.217722,fhrs
605604,Greggs,"ME7 1AQ",51.386543,0.548270,fhrs
285906,Greggs,"NE66 1JD",55.413906,-1.706451,fhrs
394789,Greggs,"CH44 5TP",53.419697,-3.043346,fhrs
240412,Greggs,"CV4 9PQ",52.406662,-1.575795,fhrs
303546,Greggs,"DL14 7JQ",54.664413,-1.676140,fhrs
532131,Greggs,"NW6 6JE",51.538006,-0.193952,fhrs
223573,Greggs,"HG1 1RP",53.992897,-1.539808,fhrs
835264,Greggs,"DY8 1DX",52.456032,-2.144776,fhrs
508887,Greggs,"MK1 1BN",52.002850,-0.724788,fhrs
455406,Greggs,"BL9 0JN",53.595062,-2.292079,fhrs
327975,Greggs,"BD1 1PU",53.793751,-1.753057,fhrs
809673,Greggs,"SY16 2NP",52.514801,-3.316224,fhrs
304001,Greggs,"DH1 3NP",54.776402,-1.575332,fhrs
7022,Greggs,"CR7 6JA",51.393673,-0.113898,fhrs
866374,Greggs,"MK40 1TP",52.136024,-0.468955,fhrs
748054,Greggs,"WA10 1BD",53.452148,-2.736477,fhrs
